1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,1
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,1
2/26/20,1
2/27/20,1
2/28/20,3
2/29/20,3
3/1/20,0
3/2/20,2
3/3/20,3
3/4/20,5
3/5/20,17
3/6/20,6
3/7/20,18
3/8/20,0
3/9/20,14
3/10/20,4
3/11/20,21
3/12/20,26
3/13/20,29
3/14/20,58
3/15/20,5
3/16/20,32
3/17/20,54
3/18/20,123
3/19/20,102
3/20/20,183
3/21/20,171
3/22/20,188
3/23/20,167
3/24/20,1131
3/25/20,324
3/26/20,342
3/27/20,584
3/28/20,628
3/29/20,448
3/30/20,663
3/31/20,734
4/1/20,765
4/2/20,571
4/3/20,423
4/4/20,579
4/5/20,474
4/6/20,344
4/7/20,156
4/8/20,564
4/9/20,440
4/10/20,335
4/11/20,402
4/12/20,441
4/13/20,460
4/14/20,455
4/15/20,257
4/16/20,224
4/17/20,283
4/18/20,226
4/19/20,222
4/20/20,229
4/21/20,556
4/22/20,305
4/23/20,255
4/24/20,240
4/25/20,145
4/26/20,112
4/27/20,173
4/28/20,106
4/29/20,112
4/30/20,155
5/1/20,84
5/2/20,23
5/3/20,38
5/4/20,43
5/5/20,21
5/6/20,71
5/7/20,55
5/8/20,18
5/9/20,23
5/10/20,29
5/11/20,23
5/12/20,19
5/13/20,31
5/14/20,10
5/15/20,19
5/16/20,9
5/17/20,26
5/18/20,16
5/19/20,8
5/20/20,16
5/21/20,7
5/22/20,22
5/23/20,5
5/24/20,17
5/25/20,23
5/26/20,36
5/27/20,79
5/28/20,115
5/29/20,25
5/30/20,59
5/31/20,98
6/1/20,116
6/2/20,92
6/3/20,118
6/4/20,67
6/5/20,190
6/6/20,111
6/7/20,169
6/8/20,148
6/9/20,175
6/10/20,214
6/11/20,226
6/12/20,177
6/13/20,83
6/14/20,182
6/15/20,258
6/16/20,288
6/17/20,253
6/18/20,303
6/19/20,294
6/20/20,145
6/21/20,304
